City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
47,Eyrarbakki,63.863,-21.1481,33.85,77,59,8.84,IS,2022-03-13 22:33:18
48,Hermanus,-34.4187,19.2345,57.79,61,89,10.85,ZA,2022-03-13 22:33:18
49,Ribeira Grande,38.5167,-28.7,56.17,61,96,10.49,PT,2022-03-13 22:33:19
50,Bredasdorp,-34.5322,20.0403,56.52,67,99,6.91,ZA,2022-03-13 22:33:19
51,Bubaque,11.2833,-15.8333,75.6,77,86,17.18,GW,2022-03-13 22:33:20
52,Quthing,-30.4,27.7003,62.28,78,55,1.9,LS,2022-03-13 22:33:20
53,Mahebourg,-20.4081,57.7,79.09,83,40,8.05,MU,2022-03-13 22:33:20
54,Monteagudo,-19.8167,-63.9833,60.58,97,100,3.04,BO,2022-03-13 22:33:21
55,Parry Sound,45.3501,-80.033,24.85,93,100,8.86,CA,2022-03-13 22:33:21
56,Cape Town,-33.9258,18.4232,60.28,62,20,11.5,ZA,2022-03-13 22:31:26
57,Alice Springs,-23.7,133.8833,67.55,45,9,0.0,AU,2022-03-13 22:31:26
58,Jamestown,42.097,-79.2353,26.71,59,100,13.8,US,2022-03-13 22:29:23
59,Mount Gambier,-37.8333,140.7667,60.71,100,100,8.05,AU,2022-03-13 22:33:22
60,Kimbe,-5.5502,150.1429,84.06,75,74,1.25,PG,2022-03-13 22:33:22
61,Gushi,34.6425,109.5843,57.94,33,100,2.19,CN,2022-03-13 22:33:22
62,Half Moon Bay,37.4636,-122.4286,69.42,62,40,13.8,US,2022-03-13 22:33:23
63,Lompoc,34.6391,-120.4579,77.56,79,75,19.57,US,2022-03-13 22:33:23
64,Bathsheba,13.2167,-59.5167,79.41,69,40,16.11,BB,2022-03-13 22:33:23
65,Tilichiki,60.4667,166.1,6.76,75,4,7.81,RU,2022-03-13 22:33:24
66,Belaya Gora,68.5333,146.4167,-4.52,97,100,1.12,RU,2022-03-13 22:33:24
67,Saskylakh,71.9167,114.0833,-13.67,99,99,4.0,RU,2022-03-13 22:33:24
68,Abu Samrah,35.3029,37.1841,34.7,92,56,7.07,SY,2022-03-13 22:33:25
69,Katsuura,35.1333,140.3,62.64,82,100,27.04,JP,2022-03-13 22:33:25
70,Pasuquin,18.3328,120.6177,73.35,94,20,3.44,PH,2022-03-13 22:33:26
71,Svetlogorsk,52.6333,29.7333,28.49,78,14,2.24,BY,2022-03-13 22:33:26
72,Washougal,45.5826,-122.3534,53.49,89,100,13.8,US,2022-03-13 22:33:26
73,Tokur,53.1333,132.9,8.82,95,100,2.33,RU,2022-03-13 22:33:27
74,Sisimiut,66.9395,-53.6735,-5.08,98,100,8.48,GL,2022-03-13 22:33:27
